title,path,collection,category,audience,pages,status,sha256
Founding Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_01_Founding_Charter_v2.pdf,Institutional,Constitution,"Board, governance",14,PUBLIC,4dba3bc7d5572419d830381113ae624da15740c10757383fe9f5aebab16def29
Portfolio Constitution,documents/institutional/GoalOS_Sovereign_Reserve_Omega_02_Portfolio_Constitution_v2.pdf,Institutional,Governance,"Board, portfolio committee",16,PUBLIC,65d40dc1790148a51ad56eae88bcad3ec8872352f7f9ff00402bc77849fb8a90
Institutional Operating System,documents/institutional/GoalOS_Sovereign_Reserve_Omega_03_Institutional_Operating_System_v2.pdf,Institutional,Operations,"Executives, operators",19,PUBLIC,5caeeddb360a82b878ff78448cfcf1ea8efe43244339e3025c3d97b64f9a89e9
Governance Manual,documents/institutional/GoalOS_Sovereign_Reserve_Omega_04_Governance_Manual_v2.pdf,Institutional,Governance,"Board, operators",5,PUBLIC,7f541e49c9a83b1a887d413169ca4ac8db166c9977880592ab8cb041360b0f7f
Risk & Safety Framework,documents/institutional/GoalOS_Sovereign_Reserve_Omega_05_Risk_Safety_Framework_v2.pdf,Institutional,Safety,"Safety, governance",5,PUBLIC,89f997c0c24e1a90587b1baa885adfa5d90047968f7a4353df99e6a29bd55723
Proof & Validation Protocols,documents/institutional/GoalOS_Sovereign_Reserve_Omega_06_Proof_Validation_Protocols_v2.pdf,Institutional,Proof,"Reviewers, operators",5,PUBLIC,ef03a35f84436c685125b7f31edeb8befc12554aae9923ccc892b15e72c55d84
Technology Architecture,documents/institutional/GoalOS_Sovereign_Reserve_Omega_13_Technology_Architecture_v2.pdf,Institutional,Technology,"Engineers, operators",5,PUBLIC,d2e0987955e9a1f1b8f626d3eead221e9781f392e604f2ee32d101d3a1d6647d
Data & Knowledge Governance,documents/institutional/GoalOS_Sovereign_Reserve_Omega_14_Data_Knowledge_Governance_v2.pdf,Institutional,Data,"Data, privacy, research",5,PUBLIC,c7470a981468ffe0fab4759859bc9cb8232cb43ce6046a0cb801b882101448b2
Research & Innovation Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_15_Research_Innovation_Charter_v2.pdf,Institutional,Research,"Researchers, reviewers",5,PUBLIC,b2bfc79e256782a546889ba469061cb9435ad40fbf2ba6e0c2b1831f6d72b347
People & Culture Charter,documents/institutional/GoalOS_Sovereign_Reserve_Omega_16_People_Culture_Charter_v2.pdf,Institutional,People,"Leaders, contributors",5,PUBLIC,5324b670c1e631f43f65f4a2e414c9b04a4f8f917b70792f7f19f084dc1a8bc7
